,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
381,tiarei,-17.53,-149.33,28.0,61,20,4.1,PF,1593313131
382,yokadouma,3.52,15.05,19.75,97,36,0.79,CM,1593313131
383,parabel,58.7,81.48,21.06,76,93,4.1,RU,1593313131
384,avera,33.19,-82.53,23.0,83,1,2.9,US,1593313131
385,cody,44.53,-109.06,30.0,18,1,3.1,US,1593313132
386,uglegorsk,49.08,142.03,15.16,66,44,2.45,RU,1593313132
387,cairns,-16.92,145.77,27.0,57,90,5.7,AU,1593313057
388,toamasina,-18.17,49.38,18.0,93,75,2.71,MG,1593313132
389,aketi,2.74,23.78,20.26,97,28,0.56,CD,1593313132
390,finschhafen,-6.6,147.87,25.33,87,100,4.45,PG,1593313132
391,belyy yar,53.6,91.39,22.0,78,54,1.0,RU,1593313132
392,mwingi,-0.93,38.06,15.14,82,11,1.56,KE,1593313132
393,marsh harbour,26.54,-77.06,27.91,70,0,3.5,BS,1593313132
394,yatou,37.15,122.38,26.48,52,10,3.21,CN,1593313132
395,burlington,39.88,-74.64,25.0,100,40,1.5,US,1593313132
396,kanadey,53.17,47.53,18.6,85,0,4.56,RU,1593313132
397,teknaf,20.86,92.31,27.94,82,100,1.9,BD,1593313132
398,ternate,0.8,127.4,28.17,72,100,2.18,ID,1593313133
399,yacuiba,-22.04,-63.68,8.07,59,0,1.35,BO,1593313133
400,shimoda,34.67,138.95,24.0,94,75,10.3,JP,1593313133
401,acari,-15.43,-74.62,17.25,65,29,0.89,PE,1593313133
402,meulaboh,4.14,96.13,28.81,69,7,1.94,ID,1593313133
403,khangarh,29.92,71.16,33.0,63,0,8.2,PK,1593313133
404,ust-kut,56.79,105.77,29.25,30,0,2.98,RU,1593313133
405,pemangkat,1.17,108.97,26.22,77,99,2.34,ID,1593313133
406,nelson bay,-32.72,152.15,16.0,67,75,6.2,AU,1593313133
407,hokitika,-42.72,170.97,13.17,79,24,2.51,NZ,1593313133
408,carauari,-4.88,-66.9,22.88,93,100,0.59,BR,1593312912
409,gushikawa,26.35,127.87,30.0,84,75,7.2,JP,1593313133
410,mount gambier,-37.83,140.77,13.0,66,0,3.6,AU,1593313133
411,saquena,-4.67,-73.52,22.55,97,5,0.31,PE,1593313133
412,boz,46.41,4.91,20.0,94,83,0.56,FR,1593313134
413,margate,51.38,1.39,15.56,75,100,2.68,GB,1593313134
414,marathon,44.9,-89.77,24.0,53,1,1.45,US,1593312982
415,naranjal,-2.67,-79.62,27.0,74,20,5.1,EC,1593313134
416,aguimes,27.91,-15.45,22.0,68,75,10.3,ES,1593313134
417,neiafu,-18.65,-173.98,27.0,74,75,4.6,TO,1593313134
418,la palma,33.85,-118.05,21.11,68,1,4.6,US,1593313134
419,ararat,39.83,44.7,17.0,93,40,3.26,AM,1593313134
420,mattru,7.62,-11.83,22.72,98,100,0.44,SL,1593313134
421,jacqueville,5.21,-4.41,24.0,100,75,2.1,CI,1593313134
422,raga,8.46,25.68,20.75,94,100,1.68,SS,1593313134
423,atar,20.52,-13.05,34.62,11,0,5.94,MR,1593313134
424,dudinka,69.41,86.18,24.0,57,9,8.0,RU,1593313134
425,surt,31.21,16.59,22.16,73,0,2.65,LY,1593312904
426,andenes,69.31,16.12,10.0,87,56,9.8,NO,1593313135
427,rabo de peixe,37.8,-25.58,20.0,88,75,4.6,PT,1593313135
428,rodekro,55.07,9.32,17.22,100,75,2.1,DK,1593313135
429,muscat,23.61,58.59,33.0,70,0,1.5,OM,1593313135
430,sangar,63.92,127.47,27.34,40,48,1.66,RU,1593313135
431,akyab,20.15,92.9,29.0,74,99,1.73,MM,1593313135
432,flinders,-34.58,150.86,15.56,55,3,2.68,AU,1593313135
433,balkanabat,39.51,54.37,25.79,16,0,9.03,TM,1593313135
434,isangel,-19.55,169.27,26.0,65,40,4.1,VU,1593313135
435,umea,63.83,20.26,15.0,72,32,3.1,SE,1593313135
436,west bay,19.37,-81.42,28.89,81,100,0.89,KY,1593313135
437,balakhninskiy,58.01,114.28,25.51,39,0,2.84,RU,1593313135
438,ghansor,22.65,79.95,28.0,78,40,3.1,IN,1593313135
439,otukpo,7.19,8.13,22.15,98,100,1.63,NG,1593313136
440,grafton,42.21,-71.69,18.89,93,90,2.6,US,1593313136
441,baturaja,-4.13,104.17,28.66,66,48,2.33,ID,1593313136
442,tocopilla,-22.09,-70.2,15.19,67,28,1.75,CL,1593313136
443,souillac,-20.52,57.52,21.0,88,20,3.1,MU,1593313136
444,dakar,14.69,-17.44,26.0,83,40,3.6,SN,1593312862
445,hurghada,27.26,33.81,25.95,48,1,6.86,EG,1593313136
446,muros,42.78,-9.06,16.11,93,34,1.79,ES,1593313136
447,tallahassee,30.44,-84.28,24.44,88,75,2.54,US,1593313043
448,mana,5.66,-53.78,25.23,87,94,2.25,GF,1593313136
449,salinopolis,-0.61,-47.36,25.74,87,62,4.18,BR,1593313136
450,prainha,-1.8,-53.48,23.11,96,0,1.13,BR,1593313136
451,olafsvik,64.89,-23.71,10.57,87,94,4.91,IS,1593313137
452,rawson,-43.3,-65.1,2.26,77,0,3.22,AR,1593313137
453,hofn,64.25,-15.21,12.37,85,99,7.64,IS,1593313137
454,henties bay,-22.12,14.28,10.0,90,0,2.73,NA,1593313137
455,neyshabur,36.21,58.8,19.39,27,0,2.44,IR,1593313137
456,mitsamiouli,-11.38,43.28,25.12,76,0,1.68,KM,1593313137
457,lerwick,60.15,-1.15,14.0,100,77,8.2,GB,1593313137
458,la ronge,55.1,-105.28,17.0,82,90,2.1,CA,1593313137
459,vulcan,45.38,23.27,13.96,77,0,0.98,RO,1593313137
460,trinidad,-14.83,-64.9,13.49,84,48,2.62,BO,1593312857
461,maarianhamina,60.1,19.93,14.0,93,53,1.0,AX,1593313137
462,muroto,33.28,134.15,25.0,83,75,3.6,JP,1593313137
463,champerico,14.3,-91.92,27.92,79,79,2.32,GT,1593313137
464,mogzon,51.74,111.96,23.14,58,100,2.68,RU,1593313138
465,saint-leu,-21.15,55.28,20.0,77,14,2.6,RE,1593313138
466,yomou,7.56,-9.27,21.46,99,100,0.95,GN,1593313138
467,amboasary,-25.03,46.38,20.0,88,0,2.1,MG,1593313138
468,ballina,-28.87,153.57,17.0,93,75,3.6,AU,1593313138
469,berlevag,70.86,29.09,6.72,84,100,6.73,NO,1593313138
470,nauta,-4.51,-73.58,22.68,98,8,0.28,PE,1593313138
471,arak,34.09,49.69,18.03,48,0,2.3,IR,1593313138
472,moyale,3.52,39.06,17.0,98,44,2.83,KE,1593313138
473,vung tau,10.35,107.08,28.55,70,100,2.78,VN,1593313030
474,hornepayne,49.21,-84.77,15.9,81,1,0.76,CA,1593313138
475,tessalit,20.2,1.01,32.14,18,0,7.49,ML,1593313138
476,hobyo,5.35,48.53,25.44,77,32,7.7,SO,1593313138
477,arrifes,37.77,-25.7,20.0,88,75,4.6,PT,1593313138
478,umm kaddadah,13.6,26.69,31.4,36,69,3.91,SD,1593313139
479,north platte,41.12,-100.77,29.0,39,1,3.6,US,1593313139
480,tezu,27.92,96.17,23.65,87,100,0.95,IN,1593313139
481,chipinge,-20.19,32.62,12.87,59,0,0.89,ZW,1593313139
482,kroya,-7.63,109.25,27.81,69,45,2.93,ID,1593313139
483,boa vista,2.82,-60.67,27.0,88,20,1.0,BR,1593313139
484,takoradi,4.88,-1.76,24.47,88,100,3.65,GH,1593313139
485,santo antonio do amparo,-20.95,-44.92,13.82,94,0,0.71,BR,1593313139
486,juneau,58.3,-134.42,18.0,52,40,3.1,US,1593312867
487,ugoofaaru,5.67,73.0,28.6,76,96,5.43,MV,1593313139
488,paita,-5.09,-81.11,18.26,86,16,3.63,PE,1593313139
489,malinovskiy,61.2,62.84,12.05,64,100,2.35,RU,1593313139
490,bemidji,47.47,-94.88,23.0,60,1,3.1,US,1593312924
491,kurchum,48.57,83.65,19.27,31,58,4.98,KZ,1593313140
492,robertsport,6.75,-11.37,24.49,86,100,1.31,LR,1593313140
493,livingstonia,-10.61,34.11,15.47,81,0,0.5,MW,1593313140
494,luanda,-8.84,13.23,22.0,83,75,1.0,AO,1593313140
495,nanyang,32.99,112.53,22.23,91,100,8.77,CN,1593313140
496,singkawang,0.9,109.0,26.02,76,99,2.02,ID,1593313140
497,bay city,43.59,-83.89,22.0,53,1,2.6,US,1593313140
498,faya,18.39,42.45,22.0,22,44,1.73,SA,1593313140
499,warrington,53.39,-2.58,12.22,87,90,6.7,GB,1593313140
500,rockhampton,-23.38,150.5,23.0,46,90,3.6,AU,1593313140
501,baglung,28.27,83.59,26.27,63,99,1.16,NP,1593313140
502,tupik,54.43,119.93,23.61,47,0,1.21,RU,1593313140
503,the pas,53.83,-101.25,17.0,93,90,4.1,CA,1593313140
504,garowe,8.41,48.48,25.69,63,97,11.39,SO,1593313141
505,balatonszarszo,46.83,17.82,18.0,100,90,1.05,HU,1593313141
506,waingapu,-9.66,120.26,28.77,59,9,6.09,ID,1593313141
507,baoding,38.85,115.49,33.66,26,30,3.17,CN,1593313141
508,stony plain,53.53,-114.0,15.0,76,75,6.2,CA,1593313141
509,palmer,42.16,-72.33,19.0,100,90,1.49,US,1593312856
510,kardla,59.0,22.75,16.67,85,0,1.9,EE,1593313141
511,damara,4.96,18.7,25.0,88,20,1.3,CF,1593313141
512,manokwari,-0.87,134.08,28.64,68,85,1.73,ID,1593313141
513,daru,-9.08,143.21,26.2,84,89,6.86,PG,1593313141
514,palana,59.12,159.97,10.27,63,2,9.1,RU,1593313141
515,nagyecsed,47.87,22.39,21.11,83,79,3.6,HU,1593313141
516,bilma,18.69,12.92,28.06,15,2,1.8,NE,1593313142
517,mantua,45.17,10.78,21.11,84,0,0.89,IT,1593313142
518,itinga,-16.61,-41.77,20.79,83,47,1.04,BR,1593313142
519,komsomolskiy,40.43,71.72,21.0,28,74,3.1,UZ,1593313142
520,neryungri,56.67,124.65,24.87,36,57,1.34,RU,1593313142
521,anloga,5.79,0.9,26.0,88,75,4.1,GH,1593313142
522,tanete,-3.94,119.78,29.2,64,74,3.99,ID,1593313142
523,tefe,-3.35,-64.71,24.31,81,63,0.65,BR,1593313142
524,palmares do sul,-30.26,-50.51,10.68,71,0,2.64,BR,1593313142
525,coahuayana,18.73,-103.68,26.77,71,100,1.57,MX,1593313142
526,san cristobal,7.77,-72.22,18.66,86,34,1.1,VE,1593312905
527,kihei,20.79,-156.47,30.0,58,40,8.7,US,1593313142
528,karpathos,35.51,27.21,23.0,83,1,12.3,GR,1593313143
529,mayor pablo lagerenza,-19.93,-60.77,15.22,57,76,2.0,PY,1593313143
530,alpena,45.06,-83.43,21.0,73,1,2.1,US,1593313121
531,rocha,-34.48,-54.33,5.0,86,14,1.65,UY,1593313144
532,skjervoy,70.03,20.97,8.82,84,0,5.2,NO,1593313144
533,katherine,-14.47,132.27,28.0,42,89,6.2,AU,1593313144
534,pittsburg,38.03,-121.88,27.78,63,1,8.7,US,1593313144
535,port-cartier,50.03,-66.87,15.56,93,90,6.2,CA,1593313144
536,veraval,20.9,70.37,30.41,75,62,4.34,IN,1593313144
537,barcelona,41.39,2.16,23.33,88,20,1.5,ES,1593313031
538,kenora,49.82,-94.43,25.0,44,40,3.1,CA,1593313144
539,nouakchott,18.09,-15.98,25.0,88,40,7.7,MR,1593313144
540,ullal,12.8,74.85,25.0,94,75,2.1,IN,1593313144
541,benguela,-12.58,13.41,19.68,80,0,2.61,AO,1593313144
542,campana,-34.17,-58.96,7.78,86,10,1.5,AR,1593313145
543,bac lieu,9.29,105.72,30.3,67,72,5.75,VN,1593313145
544,kangundo,-1.3,37.35,16.0,93,75,2.6,KE,1593313145
545,san jeronimo,-11.95,-75.28,8.49,73,64,1.55,PE,1593313145
546,dholka,22.72,72.47,30.0,74,40,4.1,IN,1593313145
547,awjilah,29.11,21.29,22.49,48,0,3.54,LY,1593313145
548,raudeberg,61.99,5.14,18.33,85,90,4.25,NO,1593313145
549,bambanglipuro,-7.95,110.28,28.45,65,83,2.71,ID,1593313145
550,verkhnevilyuysk,63.45,120.32,29.22,31,42,1.56,RU,1593313145
551,eureka,40.8,-124.16,15.56,80,100,2.68,US,1593312901
552,puerto guzman,0.97,-76.59,21.69,85,100,1.49,CO,1593313145
553,petropavlovsk-kamchatskiy,53.05,158.65,25.0,47,36,5.0,RU,1593313145
554,zabid,14.2,43.32,30.49,64,100,1.83,YE,1593313145
555,batagay-alyta,67.8,130.41,26.76,33,5,2.97,RU,1593313145
556,san rafael del sur,11.85,-86.44,25.0,83,75,4.1,NI,1593313146
557,yabrud,33.97,36.66,16.0,67,0,2.6,SY,1593313146
558,narsaq,60.92,-46.05,9.0,66,86,4.1,GL,1593313146
559,acapulco,16.86,-99.89,29.0,74,75,1.13,MX,1593312926
560,shubarshi,48.59,57.19,21.77,54,1,8.22,KZ,1593313146
561,zhuhai,22.28,113.57,35.56,74,40,5.1,CN,1593313146
562,vyazma,55.21,34.3,16.99,94,93,1.99,RU,1593313146
563,cordoba,-31.41,-64.18,9.44,65,100,3.6,AR,1593313044
564,karczew,52.08,21.25,18.33,100,0,2.1,PL,1593313146
565,honavar,14.28,74.45,28.18,79,100,0.89,IN,1593313146
566,selenduma,50.91,106.24,25.0,55,95,0.31,RU,1593313146
567,kjollefjord,70.95,27.35,6.58,83,99,5.54,NO,1593313146
568,florence,43.77,11.25,19.44,82,0,0.5,IT,1593313146
569,ginda,30.69,78.49,28.0,78,90,1.5,IN,1593313146
570,evensk,61.95,159.23,13.27,66,67,2.49,RU,1593313146
571,jacksonville,30.33,-81.66,26.0,78,90,2.6,US,1593312926
572,abadan,30.34,48.3,28.0,37,0,3.1,IR,1593313147
